Party,Votes
 ,2022
A. Socialdemokratiet,466142
B. Radikale Venstre,73775
C. Det Konservative Folkeparti,106541
D. Nye Borgerlige,58151
F. SF - Socialistisk Folkeparti,147677
I. Liberal Alliance,96011
K. Kristendemokraterne,9321
M. Moderaterne,104567
O. Dansk Folkeparti,41537
"Q. Frie Grønne, Danmarks Nye Venstrefløjsparti",14955
"V. Venstre, Danmarks Liberale Parti",281321
Æ. Danmarksdemokraterne - Inger Støjberg,99904
Ø. Enhedslisten - De Rød-Grønne,76615
Å. Alternativet,51286
Udenfor for partierne,4288
